Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:24:46        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:24:47           47      0.00
01:24:47           48      0.00
01:24:47           49      0.00
01:24:47           50      0.00
01:24:47           51      0.00
01:24:47           52      0.00
01:24:47           53      0.00
01:24:47           54      0.00
01:24:47           55      0.00
01:24:47           56      0.00
01:24:47           57      0.00
01:24:47           58      0.00
01:24:47           59      0.00
01:24:47           60      0.00
01:24:47           61      0.00
01:24:47           62      0.00
01:24:47           63      0.00
Average:          sum    232.00
Average:            0      0.00
Average:            1      0.00
Average:            2     78.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     87.00
Average:           12      0.00
Average:           13      3.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     63.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:24:46     pswpin/s pswpout/s
01:24:47         0.00      0.00
Average:         0.00      0.00

01:24:46     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:24:47         0.00      0.00      2.00      0.00     16.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      2.00      0.00     16.00      0.00      0.00      0.00      0.00

01:24:46          tps      rtps      wtps   bread/s   bwrtn/s
01:24:47         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:24:46      frmpg/s   bufpg/s   campg/s
01:24:47       -35.00      0.00     35.00
Average:       -35.00      0.00     35.00

01:24:46    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact
01:24:47       884804    242912     21.54     17580    121168     43740      3.88     35660    106580
Average:       884804    242912     21.54     17580    121168     43740      3.88     35660    106580

01:24:46    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:24:47            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:24:46    kbhugfree kbhugused  %hugused
01:24:47            0         0      0.00
Average:            0         0      0.00

01:24:46    dentunusd   file-nr  inode-nr    pty-nr
01:24:47          151        32       786         0
Average:          151        32       786         0

01:24:46      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:24:47            1       101      0.00      0.00      0.00         0
Average:            1       101      0.00      0.00      0.00         0

01:24:46          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
01:24:47     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:24:47    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
01:24:47           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:24:47         eth0      1.00      3.00      0.14      0.24      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      1.00      3.00      0.14      0.24      0.00      0.00      0.00

01:24:46        IFACE   rxerr/s   txerr/s    coll/s  rxdrop/s  txdrop/s  txcarr/s  rxfram/s  rxfifo/s  txfifo/s
01:24:47           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:24:47         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46       call/s retrans/s    read/s   write/s  access/s  getatt/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00

01:24:46      scall/s badcall/s  packet/s     udp/s     tcp/s     hit/s    miss/s   sread/s  swrite/s saccess/s sgetatt/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46       totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
01:24:47            5         0         0         0         0         0
Average:            5         0         0         0         0         0

01:24:46       irec/s  fwddgm/s    idel/s     orq/s   asmrq/s   asmok/s  fragok/s fragcrt/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46    ihdrerr/s iadrerr/s iukwnpr/s   idisc/s   odisc/s   onort/s    asmf/s   fragf/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46       imsg/s    omsg/s    iech/s   iechr/s    oech/s   oechr/s     itm/s    itmr/s     otm/s    otmr/s  iadrmk/s iadrmkr/s  oadrmk/s oadrmkr/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46       ierr/s    oerr/s idstunr/s odstunr/s   itmex/s   otmex/s iparmpb/s oparmpb/s   isrcq/s   osrcq/s  iredir/s  oredir/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46     active/s passive/s    iseg/s    oseg/s
01:24:47         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

01:24:46     atmptf/s  estres/s retrans/s isegerr/s   orsts/s
01:24:47         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:24:46       idgm/s    odgm/s  noport/s idgmerr/s
01:24:47         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

01:24:46      tcp6sck   udp6sck   raw6sck  ip6-frag
01:24:47            0         0         0         0
Average:            0         0         0         0

01:24:46      irec6/s fwddgm6/s   idel6/s    orq6/s  asmrq6/s  asmok6/s imcpck6/s omcpck6/s fragok6/s fragcr6/s
01:24:47         1.00      0.00      1.00      3.00      0.00      0.00      1.00      3.00      0.00      0.00
Average:         1.00      0.00      1.00      3.00      0.00      0.00      1.00      3.00      0.00      0.00

01:24:46    ihdrer6/s iadrer6/s iukwnp6/s  i2big6/s  idisc6/s  odisc6/s  inort6/s  onort6/s   asmf6/s  fragf6/s itrpck6/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46      imsg6/s   omsg6/s   iech6/s  iechr6/s  oechr6/s  igmbq6/s  igmbr6/s  ogmbr6/s igmbrd6/s ogmbrd6/s irtsol6/s ortsol6/s  irtad6/s inbsol6/s onbsol6/s  inbad6/s  onbad6/s
01:24:47         1.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      1.00      0.00      0.00      0.00      0.00
Average:         1.00      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      1.00      0.00      0.00      0.00      0.00

01:24:46      ierr6/s idtunr6/s odtunr6/s  itmex6/s  otmex6/s iprmpb6/s oprmpb6/s iredir6/s oredir6/s ipck2b6/s opck2b6/s
01:24:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:24:46      idgm6/s   odgm6/s noport6/s idgmer6/s
01:24:47         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

01:24:46        CPU       MHz
01:24:47        all      0.00
01:24:47          0      0.00
01:24:47          1      0.00
01:24:47          2      0.00
01:24:47          3      0.00
01:24:47          4      0.00
Average:        all      0.00
Average:          0      0.00
Average:          1      0.00
Average:          2      0.00
Average:          3      0.00
Average:          4      0.00
